Title,Description,Start,Finish,Complete,Phase,Completion,Status,Priority,Requirement,ActualHours,EstimatedHours,HoursVariance,Progress,AssignedTo,TaskType,Path
Final Presentation,Final presentation of projection.,2026-04-15,2026-04-15,Not Started,5 - Presentations,2026-04-15,1 - Normal,1 - Low,,,0.00,0.00,0,Stephen Wilton,Milestone,sites/cis320/f2025/project7/Lists/Project Planner
Testing Phase Start,Official start of testing phase.,2026-03-20,2026-04-10,Not Started,3 - Testing,2026-03-20,1 - Normal,1 - Low,,,0.00,0.00,0,Stephen Wilton,Milestone,sites/cis320/f2025/project7/Lists/Project Planner
Testing Phase Ends,Official end of testing phase.,2026-04-10,2026-04-10,Not Started,3 - Testing,2026-04-10,1 - Normal,1 - Low,,,0.00,0.00,0,Stephen Wilton,Milestone,sites/cis320/f2025/project7/Lists/Project Planner
Final Test Plan Document,A Test Plan describes how software testing will be performed for an application. It defines how testers will execute the available Test Cases in order to validate that the system behaves correctly.,2026-04-09,2026-04-09,Completed,4 - Release,2026-04-09,2 - Medium,2 - Medium,,,,0.00,1,Stephen Wilton,Deliverable,sites/cis320/f2025/project7/Lists/Project Planner
Weekly Meeting 13,Weekly teams meeting.,2026-04-08,2026-04-08,Not Started,6 - Meetings,2026-04-08,1 - Normal,1 - Low,,,0.00,0.00,0,Stephen Wilton,Milestone,sites/cis320/f2025/project7/Lists/Project Planner
Testing for a Friend (Runa's Project),Testing project 8 (Runa's),2026-04-08,2026-04-08,Completed,3 - Testing,2026-04-08,2 - Medium,2 - Medium,,,,0.00,1,Stephen Wilton,Deliverable,sites/cis320/f2025/project7/Lists/Project Planner
Developer Time Budget Checkpoint 3,This checkpoint evaluates how accurately you are tracking developer time and how effectively you are managing schedule and progress against your original plan.,2026-04-08,2026-04-08,Completed,3 - Testing,2026-04-08,2 - Medium,2 - Medium,,,,0.00,,Stephen Wilton,Deliverable,sites/cis320/f2025/project7/Lists/Project Planner
Development Retrospective,"Now that you have completed the Testing Phase of your project, you are expected to evaluate your full development process.

A retrospective is not a summary of what you built. It is a critical reflection on what worked, what did not, and how your approach could improve.",2026-04-08,2026-04-08,Completed,4 - Release,2026-04-08,2 - Medium,2 - Medium,,,,0.00,1,Stephen Wilton,Deliverable,sites/cis320/f2025/project7/Lists/Project Planner
Testing Evidence Package,"The Testing Evidence Package represents proof that your application has been tested against its requirements. It demonstrates that you have executed test cases, recorded outcomes, and identified issues where applicable.",2026-04-07,2026-04-07,Completed,3 - Testing,2026-04-07,,,,,,0.00,1,Stephen Wilton,Deliverable,sites/cis320/f2025/project7/Lists/Project Planner
Weekly Meeting 12,Weekly teams meeting.,2026-04-01,2026-04-01,Completed,6 - Meetings,2026-04-01,1 - Normal,1 - Low,,,0.00,0.00,0,Stephen Wilton,Milestone,sites/cis320/f2025/project7/Lists/Project Planner
